C	4	900	-3.9459573000	-117.7569900000		-1333.2721000000	6590.5533000000	-2317.0757000000
C		2000	3.2091870000	-1300.5239000000	2912.1362000000		1450.7057000000	-224.2944300000
C		5000	5.2124762000	-2879.2607000000	5316.3926000000		203.2142300000	-4.5503100000
C		6000	11.3649230000	28215.2760000000	7000.3953000000		-0.0717219390	0.0043225331
Al	2	932	11.8327820000	-1573.0542000000	4925.1155000000		1508.2797000000	-16.5423520000
Al		4300	17.5971000000	27.2954850000		7399.6482000000		0.1294846200	-0.0149750240
Al2O3	3	900	7.6541058000	-404481.7800000000	7486.9835000000	24908.9810000000	-9664.4526
Al2O3		2303	39.6486340000	-409623.7600000000	26247.7100000000	1673.9334000000	56.7129940000
Al2O3		6000	53.0017500000	-391289.1300000000	34599.3810000000	0.1425236800	-0.0106417080
AlF3	3	727	20.7933380000	-361274.9600000000	10703.6580000000	14505.7440000000	-4498.5049000000
AlF3		1600	39.6527850000	-363426.2000000000	20965.7500000000	1470.7291000000	7.8135794000
AlF3		2300	49.2036240000	-361284.6700000000	32001.0550000000	-0.5447503200	0.0931197130
AlCl3	2	465.6	37.9961310000	-173893.5400000000	14995.1950000000	9440.8523000000	3905.1085000000
AlCl3		1000	78.6658670000	-170493.2000000000	31180.7810000000	25.0543500000	-10.6408010000
AlN	3	800	0.6115493400	-77443.2750000000	1882.8501000000	12038.1570000000	-5361.8286000000
AlN		2700	16.5254750000	-79864.0990000000	10967.8190000000	54.1278490000	126.5027900000
AlN		4000	19.2029560000	-74365.0810000000	16000.0730000000	-0.0218099160	0.0021453749
