O	45.1689160000	58008.6070000000	5353.7423000000	-412.4463200000	246.1924700000	-86.1404810000	17.4153820000	-1.8288189000	0.0772996660
O+	430308.0800000000	37.3473660000	4972.8917000000	-5.1784401000	1.5502188000	0.7991998600	-0.6271695100	0.1341224000	-0.0081254168
O-	44.2465530000	22733.6870000000	5272.8917000000	-317.7163300000	180.6431300000	-59.1187200000	11.0739410000	-1.1003797000	0.0450409300
O2	54.3163870000	-1836.4370000000	5581.2917000000	2710.0305000000	-1557.4076000000	440.2983600000	-82.5099170000	8.2107246000	-0.3368347700
O2+	55.7929180000	278215.2900000000	6218.1557000000	1509.1639000000	-435.3692800000	74.1931460000	-5.0447645000	-0.0877372720	0.0217390470
O3	61.0728140000	31565.3670000000	6477.8529000000	7140.7131000000	-3896.1958000000	1244.0313000000	-229.4384900000	22.5879550000	-0.9174357300
H	33.3402050000	50632.6350000000	4973.3569000000	-7.0529569000	4.6424756000	-1.6298902000	0.3123327200	-0.0507867710	0.0012198069
H+	32.0360620000	365694.6400000000	4973.2914000000	-6.9261560000	4.5340548000	-1.5829302000	0.3015770100	-0.0295443090	0.0011628033
H-	32.0376780000	31982.6340000000	4973.3605000000	-7.0600685000	4.6486687000	-1.6326162000	0.3129659400	-0.0308608130	0.0012232402
H2	40.7828160000	-2119.4816000000	7476.2362000000	-1133.0154000000	1070.0343000000	-675.2790600000	69.8089440000	-6.7118939000	0.2622112300
OH	53.5603730000	7185.7819000000	7514.0699000000	-1193.5487000000	1225.4837000000	-466.2829800000	92.9518410000	-9.5273706000	0.3946388400
OH+	51.7748840000	312779.5600000000	6685.3956000000	-85.0300860000	659.2099700000	-306.4749000000	67.2673420000	-7.2797883000	0.3116383900
OH-	50.4635130000	-34277.1120000000	7420.0709000000	-1060.0732000000	978.2895800000	-344.4303500000	63.7013690000	-6.1085491000	0.2396441200
HO2	60.1550860000	2630.8012000000	6687.1329000000	4149.7747000000	-1634.0398000000	427.1596900000	-69.6820450000	6.3542490000	-0.2458460600
H2O	53.6277000000	-60008.4560000000	7369.7266000000	504.1453600000	1003.7690000000	-481.7465200000	102.4737900000	-10.6923810000	0.4447399100
H2O2	61.6604530000	-35319.5290000000	7845.4116000000	6243.2954000000	-2517.8813000000	689.7613200000	-118.5872900000	11.3604330000	-0.4589354000
H^1	33.4124620000	50638.6470000000	4973.0597000000	-6.0611203000	3.5762748000	-1.1613727000	0.2142994600	-0.0212414120	0.0008838229
D	35.4698530000	51530.3810000000	4969.4789000000	-9.0644441300	0.1319775200	0.0683929900	-0.0278391460	0.0035657287	-0.0001491684
D2	42.1162460000	-1911.5157000000	6413.8324000000	489.1518300000	167.1721800000	-98.2091520000	22.4458650000	-2.5872999000	0.1221067800
H^1D	43.8676510000	-2025.9133000000	7424.8052000000	-1149.2503000000	1212.8137000000	-449.4279400000	84.7533440000	-7.9444289000	0.2901596500
OD	53.6600710000	6819.4658000000	6869.3974000000	-167.1542300000	754.7563400000	-362.7013100000	81.8898550000	-9.1106224000	0.4023575300
D2O	53.2764190000	-61607.7650000000	6245.6541000000	2935.6512000000	-316.9191800000	-105.9142000000	42.8867590000	-5.6257281000	0.2658758300
H^1DO	54.7614830000	-60740.4150000000	6740.3670000000	1762.8725000000	340.8855600000	-296.2749000000	74.0423860000	-8.3783595000	0.3681564700
D2O2	62.7226500000	-37425.8530000000	7990.3566000000	7681.0137000000	-3455.0261000000	978.8977400000	-167.5815900000	15.7428950000	-0.6208277100
H^1DO2	63.5034590000	-36296.9800000000	7847.9185000000	7133.5960000000	-3142.4559000000	904.4211900000	-159.6329800000	1.5548100000	-0.6320345200
T	36.5734540000	519263.0840000000	4969.4795000000	-0.9077424200	0.1330780600	0.0679219550	-0.0277315570	0.0035531083	-0.0001485765
T2	44.0028430000	-1918.5475000000	6381.9702000000	559.2121700000	313.7652900000	-210.2567100000	52.1049280000	-5.9933079000	0.2651018100
H^1T	44.5416160000	-1887.2886000000	7211.9540000000	-844.4551500000	1066.4689000000	-421.4389800000	85.2635980000	-8.7590416000	0.3612793900
DT	44.8837890000	-1932.2471000000	6603.0797000000	150.9622600000	529.2602800000	-266.2506800000	59.7216200000	-6.5010048000	0.2780012700
OT	53.2302090000	6711.0926000000	6287.9172000000	971.9829100000	26.9568570000	-79.5620900000	44.8271650000	-3.0859562000	0.0436698500
T2O	53.1022010000	-62302.3100000000	5644.9851000000	4596.1000000000	-1441.1956000000	280.6748300000	-30.4989360000	1.6780058000	-0.0017485370
H^1TO	54.6131500000	-61043.9890000000	6364.8575000000	2633.2026000000	-224.8146200000	-106.3877200000	38.5455850000	-4.8803172000	0.2264466400
DTO	54.5352250000	-61933.3670000000	5922.9068000000	3789.1258000000	-887.6660800000	89.1227890000	6.1675941000	-2.0217488000	0.1218986400
He	36.1470950000	-1457.3666000000	4973.3676000000	-7.0735798000	4.6601410000	-1.6375612000	0.3140943500	-0.0309907830	0.1229189200
Ne	40.9695810000	-1457.3666000000	4973.3676000000	-7.0735798000	4.6601410000	-1.6375612000	0.3140943500	-0.0309907830	0.0012291892
Ar	43.0044040000	-1457.3666000000	4973.3676000000	-7.0735795000	4.6601410000	-1.6375612000	0.3140943500	-0.0309907830	0.0012291892
Kr	45.2131040000	-1457.3666000000	4973.3676000000	-7.0735798000	4.6601410000	-1.6375612000	0.3140943500	-0.0309907830	0.0012291892
Xe	46.5517050000	-1457.3666000000	4973.3676000000	-7.0735798000	4.6601410000	-1.6375612000	0.3140943500	-0.0309907830	0.0012291892
